"SPECIES","YEAR","SPI","SPI_SOUTH","SPI_NORTH","SELECTED_PROTECTED_AREA_TYPE","UNION"
"Acipenser fulvescens",1876,4.99805535390727e-06,9.79702596836678e-06,0,NA,TRUE
"Acipenser fulvescens",1900,2.17450661686661e-05,4.26239732962805e-05,0,NA,TRUE
"Acipenser fulvescens",1919,2.17450661686663e-05,4.26239732962805e-05,0,NA,TRUE
"Acipenser fulvescens",1925,2.1745066168666e-05,4.26239732962805e-05,0,NA,TRUE
"Acipenser fulvescens",1927,2.17450661686663e-05,4.26239732962805e-05,0,NA,TRUE
"Acipenser fulvescens",1931,3.39721618091576e-05,6.65911295251424e-05,0,NA,TRUE
"Acipenser fulvescens",1937,5.03542562751172e-05,9.8702779663984e-05,0,NA,TRUE
"Acipenser fulvescens",1938,0.00100362484005878,0.00196727285400453,0,NA,TRUE
"Acipenser fulvescens",1941,0.00125234876847737,0.00196727285400453,0.000506674084122498,NA,TRUE
"Acipenser fulvescens",1955,0.00126617695552671,0.00199437841767377,0.000506674084122498,NA,TRUE
"Acipenser fulvescens",1960,0.00129262706896859,0.00204622507200382,0.000506674084122498,NA,TRUE
"Acipenser fulvescens",1970,0.00269686665736039,0.00479876995979271,0.000506674084122498,NA,TRUE
"Acipenser fulvescens",1972,0.00271678839624917,0.00483781990610345,0.000506674084122498,NA,TRUE
"Acipenser fulvescens",1976,0.00271706707524481,0.00483836616363041,0.000506674084122498,NA,TRUE
"Acipenser fulvescens",1977,0.00271707219389393,0.00483837619704039,0.000506674084122498,NA,TRUE
"Acipenser fulvescens",1978,0.00284924203034358,0.00509745122287408,0.000506674084122498,NA,TRUE
"Acipenser fulvescens",1979,0.00287436144946132,0.00514668949335754,0.000506674084122498,NA,TRUE
"Acipenser fulvescens",1980,0.00287436144946131,0.00514668949335749,0.000506674084122498,NA,TRUE
"Acipenser fulvescens",1981,0.00686350444584996,0.0129660781875214,0.000506674084122498,NA,TRUE
"Acipenser fulvescens",1982,0.00694483860080365,0.0131255067595907,0.000506674084122498,NA,TRUE
"Acipenser fulvescens",1983,0.00694533057026665,0.0131264711021726,0.000506674084122498,NA,TRUE
"Acipenser fulvescens",1984,0.00696970094315622,0.0131742411165385,0.000506674084122507,NA,TRUE
"Acipenser fulvescens",1985,0.00768620486070881,0.0145787088524174,0.000506674084122507,NA,TRUE
"Acipenser fulvescens",1986,0.00771248158303763,0.0146302156311124,0.000506674084122507,NA,TRUE
"Acipenser fulvescens",1987,0.00773266093097105,0.0146697705343157,0.000506674084122507,NA,TRUE
"Acipenser fulvescens",1988,0.00774595700814836,0.0146958330734754,0.000506674084122507,NA,TRUE
"Acipenser fulvescens",1989,0.0077549053426369,0.0147133733084569,0.000506674084122507,NA,TRUE
"Acipenser fulvescens",1990,0.00781501199954148,0.0148311924274679,0.000506674084122507,NA,TRUE
"Acipenser fulvescens",1991,0.00786630406096496,0.0149317334623614,0.000506674084122507,NA,TRUE
"Acipenser fulvescens",1992,0.00795220221804244,0.0151001082433379,0.000506674084122507,NA,TRUE
"Acipenser fulvescens",1993,0.00818244644990658,0.0155514255175407,0.000506674084122531,NA,TRUE
"Acipenser fulvescens",1994,0.0082307895354814,0.0156461860656401,0.000506674084122531,NA,TRUE
"Acipenser fulvescens",1995,0.00823338271774133,0.0156512691373835,0.000506674084122532,NA,TRUE
"Acipenser fulvescens",1996,0.00824533021632814,0.0156746882365378,0.000506674084122532,NA,TRUE
