"year","new_protected_area_km2","protected_area_km2","protected_area_pct","new_protected_area_north_km2","protected_area_north_km2","protected_area_north_pct","new_protected_area_south_km2","protected_area_south_km2","protected_area_south_pct","new_protected_area_endangered_km2","protected_area_endangered_km2","protected_area_endangered_pct","new_protected_area_terrestrial_km2","protected_area_terrestrial_km2","protected_area_terrestrial_pct"
1876,1.9046327617898924,1.9046327617898924,0.000001133149042582444,1.9046327617898924,"","",1.9046327617898924,1.9046327617898924,0.0000044839930728263866,1.9046327617898924,1.9046327617898924,0.000001511282002107917,"","",""
1900,11.779347694630191,13.683980456420084,0.000008141196383883173,11.779347694630191,"","",11.779347694630191,13.683980456420084,0.00003221559284615942,11.779347694630191,13.683980456420084,0.000010857921692762254,"","",""
1919,19.33135485578817,33.01533531220825,0.000019642261936316583,19.33135485578817,"","",19.33135485578817,33.01533531220825,0.00007772655065423743,19.33135485578817,33.01533531220825,0.000026196904228408137,"","",""
1925,289.9535546042369,322.96888991644516,0.00019214826907041642,289.9535546042369,289.9535546042369,0.00023084179779343377,"",33.01533531220825,0.00007772655065423743,289.9535546042369,322.96888991644516,0.00025626833705874304,"","",""
1927,8.48709432956228,331.45598424600746,0.0001971976113934019,8.48709432956228,289.9535546042369,0.00023084179779343377,8.48709432956228,41.50242964177053,0.00009770734324882554,8.48709432956228,331.45598424600746,0.0002630026499235527,"","",""
1931,4.659437319519424,336.1154215655269,0.00019996971373434063,4.659437319519424,289.9535546042369,0.00023084179779343377,4.659437319519424,46.16186696128996,0.00010867685143073858,4.659437319519424,336.1154215655269,0.0002666998055654215,"","",""
1937,10.031537367611037,346.14695893313797,0.0002059379125345419,10.031537367611037,293.74228941093924,0.0002338581372735118,6.242802560908727,52.40466952219869,0.00012337400670377465,10.031537367611037,346.14695893313797,0.0002746595982253443,"","",""
1938,363.2673511479899,709.414310081128,0.00042206149258257564,363.2673511479899,293.74228941093924,0.0002338581372735118,363.2673511479899,415.6720206701886,0.000978598341184306,363.2673511479899,709.414310081128,0.0005629038313170023,"","",""
1941,94.78240941984816,804.1967195009761,0.0004784516789966882,94.78240941984816,388.5216150561032,0.0003093151529857077,"",415.6720206701886,0.000978598341184306,94.78240941984816,804.1967195009761,0.0006381114788731783,"","",""
1955,5.275566345181151,809.4722858461572,0.0004815903433487097,5.275566345181151,388.5216150561032,0.0003093151529857077,5.269571404228974,420.9415920744176,0.000991004261184927,5.269612059535782,809.4663315605119,0.0006422927940450244,"","",""
1960,10.079470483518913,819.5517563296761,0.00048758705964870865,10.079470483518913,388.5216150561032,0.0003093151529857077,10.079470483518913,431.0210625579365,0.0010147339148654524,10.079470483518913,819.5458020440308,0.000650290620522715,"","",""
1970,779.0724065069866,1598.6241628366627,0.0009510911898129771,779.0724065069866,388.5216150561032,0.0003093151529857077,779.0724065069866,1210.093469064923,0.0028488697882422206,779.0724065069866,1598.6182085510172,0.0012684665386910254,"","",""
1972,7.591671780393977,1606.2158346170565,0.0009556078062348585,7.591671780393977,388.5216150561032,0.0003093151529857077,7.591671780393977,1217.685140845317,0.002866742526944073,7.591671780393977,1606.2098803314111,0.0012744903544931005,"","",""
1976,0.10619752375902317,1606.3220321408155,0.0009556709877703158,0.10619752375902317,388.5216150561032,0.0003093151529857077,0.10619752375902317,1217.791338369076,0.0028669925430996487,0.10619752375902317,1606.31607785517,0.0012745746197696123,"","",""
1977,1.875980339309434,1608.198012480125,0.0009567870902379612,1.875980339309434,388.5216150561032,0.0003093151529857077,1.875980339309434,1219.6673187083854,0.002871409081035454,1.875980339309434,1608.1920581944796,0.0012760631667378174,"","",""
1978,112.05544254212577,1720.2534550222508,0.001023453756894181,112.05544254212577,392.8717023046559,0.0003127784040652981,107.70535529357305,1327.3726740019586,0.0031249750580213957,112.05544254212577,1720.2475007366054,0.0013649765661865423,"","",""
1979,69.17243891508113,1789.425893937332,0.00106460745565554,69.17243891508113,392.8717023046559,0.0003127784040652981,69.17243891508113,1396.5451129170397,0.0032878246861220103,69.17243891508113,1789.4199396516865,0.0014198632950465613,"","",""
1980,9.740594704185984,1799.1664886415178,0.0010704025599846598,9.740594704185984,392.8717023046559,0.0003127784040652981,9.740594704185984,1406.2857076212256,0.003310756539471909,9.740594704185984,1799.1605343558724,0.0014275922314387034,"","",""
1981,3296.391802234171,5095.558290875689,0.0030315697149421277,3296.391802234171,392.8717023046559,0.0003127784040652981,3296.391802234171,4702.677509855396,0.01107130665867135,3296.310894022009,5095.471428377881,0.004043138612572132,"","",""
1982,30.994392972758956,5126.5526838484475,0.0030500096301988096,30.994392972758956,392.8717023046559,0.0003127784040652981,30.994392972758956,4733.671902828155,0.011144275393733801,30.994392972758956,5126.46582135064,0.004067731945841256,"","",""
