"";"SPECIES";"SPI";"YEAR";"SELECTED_PROTECTED_AREA_TYPE";"UNION";"LOC"
"83";"Luxilus cornutus";0,0801972437181134;2023;NA;TRUE;"South"
"84";"Odocoileus virginianus";0,0823354869896435;2023;NA;TRUE;"South"
"85";"Micropterus dolomieu";0,082891916062249;2023;NA;TRUE;"South"
"86";"Storeria occipitomaculata";0,0838168129103216;2023;NA;TRUE;"South"
"87";"Hyla versicolor";0,0846999161817985;2023;NA;TRUE;"South"
"88";"Morone chrysops";0,0861946023328133;2023;NA;TRUE;"South"
"89";"Notemigonus crysoleucas";0,0863614390256917;2023;NA;TRUE;"South"
"90";"Lepomis gibbosus";0,086704540282362;2023;NA;TRUE;"South"
"91";"Ambystoma maculatum";0,0878356725082315;2023;NA;TRUE;"South"
"92";"Dermochelys coriacea";0,0880352708118964;2023;NA;TRUE;"South"
"93";"Ichthyomyzon unicuspis";0,089466241756182;2023;NA;TRUE;"South"
"94";"Ichthyomyzon castaneus";0,0906882326568915;2023;NA;TRUE;"South"
"95";"Notropis volucellus";0,0909461928664942;2023;NA;TRUE;"South"
"96";"Labidesthes sicculus";0,0910354313095185;2023;NA;TRUE;"South"
"97";"Ammocrypta pellucida";0,0911512389295348;2023;NA;TRUE;"South"
"98";"Ambloplites rupestris";0,0915315789896207;2023;NA;TRUE;"South"
"99";"Rhinichthys atratulus";0,0925251963926375;2023;NA;TRUE;"South"
"100";"Fundulus diaphanus";0,0931225579835288;2023;NA;TRUE;"South"
"101";"Semotilus atromaculatus";0,094078738433081;2023;NA;TRUE;"South"
"102";"Etheostoma exile";0,0943034634022529;2023;NA;TRUE;"South"
"103";"Moxostoma valenciennesi";0,0943380715708486;2023;NA;TRUE;"South"
"104";"Notropis rubellus";0,0944959091765218;2023;NA;TRUE;"South"
"105";"Lepomis macrochirus";0,0945384049038024;2023;NA;TRUE;"South"
"106";"Lithobates clamitans";0,095782039196401;2023;NA;TRUE;"South"
"107";"Fundulus heteroclitus";0,0962072561680181;2023;NA;TRUE;"South"
