"","observed_scientific_name","valid_scientific_name","vernacular_en","vernacular_fr","group_en","group_fr"
"155","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","Chinook salmon","Saumon chinook","Fish","Poissons"
"156","Ondatra zibethicus","Ondatra zibethicus","Common muskrat","Rat musqué","Mammals","Mammifères"
"157","Osmerus mordax","Osmerus mordax","Rainbow smelt","Éperlan arc-en-ciel","Fish","Poissons"
"158","Ovibos moschatus","Ovibos moschatus","Muskox","Boeuf musqué","Mammals","Mammifères"
"159","Parascalops breweri","Parascalops breweri","Brewer's mole","Taupe à queue velue","Mammals","Mammifères"
"160","Pekania pennanti","Pekania pennanti","Fisher","Pékan","Mammals","Mammifères"
"161","Perca flavescens","Perca flavescens","Yellow perch","Perchaude","Fish","Poissons"
"162","Percina caprodes","Percina caprodes","Logperch","Fouille-roche zébré","Fish","Poissons"
"163","Percopsis omiscomaycus","Percopsis omiscomaycus","Trout-perch","Omisco","Fish","Poissons"
"164","Pipistrellus subflavus","Perimyotis subflavus","Eastern pipistrelle","Pipistrelle de l'est","Mammals","Mammifères"
"165","Peromyscus leucopus","Peromyscus leucopus","White-footed deermouse","Souris à pattes blanches","Mammals","Mammifères"
"166","Peromyscus maniculatus","Peromyscus maniculatus","Deer mouse","Souris sylvestre","Mammals","Mammifères"
"167","Petromyzon marinus","Petromyzon marinus","Lake lamprey","Lamproie marine","Fish","Poissons"
"168","Phenacomys ungava","Phenacomys ungava","Eastern heather vole","Phénacomys","Mammals","Mammifères"
"169","Pimephales notatus","Pimephales notatus","Bluntnose minnow","Méné à museau arrondi","Fish","Poissons"
"170","Pimephales promelas","Pimephales promelas","Fathead minnow","Méné à grosse tête","Fish","Poissons"
"171","Plethodon cinereus","Plethodon cinereus","Eastern red-backed salamander","Salamandre cendrée","Amphibians","Amphibiens"
"172","Pomoxis nigromaculatus","Pomoxis nigro-maculatus","Black crappie","Marigane noire","Fish","Poissons"
"173","Procyon lotor","Procyon lotor","Northern raccoon","Raton laveur","Mammals","Mammifères"
"174","Prosopium cylindraceum","Prosopium cylindraceum","Round whitefish","Ménomini rond","Fish","Poissons"
"175","Pseudacris crucifer","Pseudacris crucifer","Spring peeper","Rainette crucifère","Amphibians","Amphibiens"
"176","Pseudacris maculata","Pseudacris maculata","Boreal chorus frog","Rainette faux-grillon boréale","Amphibians","Amphibiens"
"177","Pseudacris triseriata","Pseudacris triseriata","Striped chorus frog","Rainette faux-grillon de l'ouest","Amphibians","Amphibiens"
"178","Pungitius pungitius","Pungitius pungitius","Ninespine stickleback","Épinoche à neuf épines","Fish","Poissons"
"179","Rangifer tarandus caribou","Rangifer tarandus caribou","Woodland caribou","Caribou des bois","Mammals","Mammifères"
"180","Rattus norvegicus","Rattus norvegicus","Brown rat","Rat surmulot","Mammals","Mammifères"
"181","Rhinichthys atratulus","Rhinichthys atratulus","Blacknose dace","Naseux noir de l'est","Fish","Poissons"
"182","Rhinichthys cataractae","Rhinichthys cataractae","Longnose dace","Naseux des rapides","Fish","Poissons"
"183","Salmo salar","Salmo salar","Atlantic salmon","Saumon Atlantique","Fish","Poissons"
"184","Salmo trutta","Salmo trutta","Brown trout","Truite brune","Fish","Poissons"
"185","Salvelinus alpinus","Salvelinus alpinus","Arctic char","Omble chevalier","Fish","Poissons"
"186","Salvelinus fontinalis","Salvelinus fontinalis","Aurora trout","Omble aurora","Fish","Poissons"
"187","Salvelinus namaycush","Salvelinus namaycush","Lake trout","Touladi","Fish","Poissons"
"188","Sander canadensis","Sander canadensis","Sauger","Doré noir","Fish","Poissons"
"189","Sander vitreus","Sander vitreus","Walleye","Doré jaune","Fish","Poissons"
"190","Scardinius erythrophthalmus","Scardinius erythrophthalmus","European rudd","Gardon rouge","Fish","Poissons"
"191","Sciurus carolinensis","Sciurus carolinensis","Eastern gray squirrel","Écureuil gris","Mammals","Mammifères"
"192","Semotilus atromaculatus","Semotilus atromaculatus","Creek chub","Mulet à cornes","Fish","Poissons"
"193","Semotilus corporalis","Semotilus corporalis","Fallfish","Ouitouche","Fish","Poissons"
"194","Sorex arcticus","Sorex arcticus","Arctic shrew","Musaraigne arctique","Mammals","Mammifères"
"195","Sorex cinereus","Sorex cinereus","Cinereus shrew","Musaraigne cendrée","Mammals","Mammifères"
"196","Sorex dispar","Sorex dispar","Long-tailed shrew","Musaraigne longicaude","Mammals","Mammifères"
"197","Sorex fumeus","Sorex fumeus","Smoky shrew","Musaraigne fuligineuse","Mammals","Mammifères"
"198","Sorex gaspensis","Sorex gaspensis","Gaspé shrew","Musaraigne de gaspé","Mammals","Mammifères"
"199","Sorex palustris","Sorex palustris","American water shrew","Musaraigne palustre","Mammals","Mammifères"
"200","Sternotherus odoratus","Sternotherus odoratus","Common musk turtle","Tortue musquée","Reptiles","Reptiles"
"201","Storeria dekayi","Storeria dekayi","Brown snake","Couleuvre brune","Reptiles","Reptiles"
"202","Storeria occipitomaculata","Storeria occipitomaculata","Red-bellied snake","Couleuvre à ventre rouge","Reptiles","Reptiles"
"203","Sylvilagus floridanus","Sylvilagus floridanus","Eastern cottontail","Lapin à queue blanche","Mammals","Mammifères"
"204","Synaptomys borealis","Synaptomys borealis","Northern bog lemming","Campagnol-lemming boréal","Mammals","Mammifères"
"205","Synaptomys cooperi","Synaptomys cooperi","Southern bog lemming","Campagnol-lemming de cooper","Mammals","Mammifères"
"206","Neotamias minimus","Tamias","Least chipmunk","Amniote","Mammals","Mammifères"
"207","Tamias minimus","Tamias minimus","Least chipmunk","Tamia mineur","Mammals","Mammifères"
"208","Tamias striatus","Tamias striatus","Eastern chipmunk","Tamia rayé","Mammals","Mammifères"
"209","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus","Red squirrel","Écureuil roux","Mammals","Mammifères"
"210","Thamnophis sauritus","Thamnophis saurita septentrionalis","Thamnophis sauritus septentrionalis","Couleuvre mince du Nord","Reptiles","Reptiles"
"211","Thamnophis sirtalis","Thamnophis sirtalis","Common garter snake","Couleuvre rayée commune","Reptiles","Reptiles"
"212","Tinca tinca","Tinca tinca","Tench","Tanche","Fish","Poissons"
"213","Umbra limi","Umbra limi","Central mudminnow","Umbre de vase","Fish","Poissons"
"214","Urocyon cinereoargenteus","Urocyon cinereoargenteus","Common gray fox","Renard gris","Mammals","Mammifères"
"215","Ursus americanus","Ursus americanus","American black bear","Ours noir","Mammals","Mammifères"
"216","Ursus maritimus","Ursus maritimus","Polar bear","Ours blanc","Mammals","Mammifères"
"217","Vulpes vulpes","Vulpes vulpes","Red fox","Renard roux","Mammals","Mammifères"
"218","Zapus hudsonius","Zapus hudsonius","Meadow jumping mouse","Souris sauteuse des champs","Mammals","Mammifères"
"219","Chrosomus eos",NA,NA,"Ventre rouge du nord",NA,"Poissons"
"220","Chrosomus neogaeus",NA,NA,"Ventre citron",NA,"Poissons"
"221","Erethizon dorsatum",NA,NA,"Porc-épic d’Amérique",NA,"Mammifères"
"222","Esox americanus vermiculatus",NA,NA,"Brochet vermiculé",NA,"Poissons"
"223","Gulo gulo",NA,NA,"Glouton",NA,"Mammifères"
"224","Gyrinophilus porphyriticus",NA,NA,"Salamandre pourpre",NA,"Amphibiens"
"225","Lepomis cyanellus",NA,NA,"Perche-soleil verte",NA,"Poissons"
"226","Lepomis peltastes",NA,NA,"Crapet du nord",NA,"Poissons"
"227","Lethenteron appendix",NA,NA,"Lamproie de Planer",NA,"Poissons"
"228","Liochlorophis vernalis",NA,NA,"Couleuvre verte",NA,"Reptiles"
"229","Lithobates clamitans",NA,NA,"Grenouille verte",NA,"Amphibiens"
"230","Lontra canadensis",NA,NA,"Loutre de rivière",NA,"Mammifères"
"231","Marmota monax",NA,NA,"Marmotte commune",NA,"Mammifères"
"232","Martes pennanti",NA,NA,"Pékan",NA,"Mammifères"
"233","Mephiti mephitis",NA,NA,"Mouffette rayée",NA,"Mammifères"
"234","Morone chrysops",NA,NA,"Bar blanc",NA,"Poissons"
"235","Mustela frenata",NA,NA,"Belette à longue queue",NA,"Mammifères"
"236","Myodes gapperi",NA,NA,"Campagnol à dos roux de Gapper",NA,"Mammifères"
"237","Necturus maculosus",NA,NA,"Necture tacheté",NA,"Amphibiens"
"238","Neovison vison",NA,NA,"Vison d’Amérique",NA,"Mammifères"
"239","Noturus insignis",NA,NA,"Chat-fou liséré",NA,"Poissons"
"240","Oncorhynchus clarkii",NA,NA,"Truite fardée",NA,"Poissons"
"241","Oncorhynchus nerka",NA,NA,"Saumon rouge",NA,"Poissons"
"242","Perimyotis subflavus",NA,NA,"Blondin de Cuvier",NA,"Mammifères"
